description,report
Weapons Law Violatio,4
Violation Full Order,2
Violation Ex Parte O,1
Trespassing,7
Suicide By Sleeping,1
Strong Arm Robbery,10
Stolen Property OFFE,1
Stealing Shoplifting,4
Stealing Purse Snatc,1
Stealing from Buildi,16
Stealing From Auto,44
Stealing Bicycles,2
Stealing Auto Parts/,15
Stealing All Other,31
Sex Off Misconduct,1
Sex Off Indecent Exp,1
Sex Off Fondle - mol,1
Resisting an Officer,7
Rape,4
Property Damage,73
Possession/Sale/Dist,13
Possession of Drug E,11
Non Aggravated Assau,29
Non Agg Assault Dome,63
Misc Violation,26
Liquor Law Violaton,1
Intimidation,1
Fraud/Confidence Gam,3
Forgery,1
Forcible Sodomy,3
Forcible Fondling,1
Family Disturbance,1
False Information to,1
Embezzlement,1
Driving Under Influe,7
Disorderly Conduct,6
Dead Body,1
Credit/Debit/ATM Car,3
Burglary - Residence,46
Burglary - Non Resid,39
Auto Theft Outside S,3
Auto Theft,86
Attempt Suicide by C,1
Arson,17
Armed Robbery,18
Aggravated Assault (,26
Agg Assault - Drive-,1
Agg Assault - Domest,21
